player_a,player_b,condition,round_type,score_a,score_b,gap,recommendation,color_a,color_b,element_a,element_b
Adam Scott,Harry Hall,Moderate,Open,-1.9,0.0,-1.9,SKIP,Purple,nan,Metal,Fire
Francesco Laporta,Thriston Lawrence,Moderate,Open,-1.9,0.0,-1.9,SKIP,Purple,nan,Metal,Fire
Byeong-Hun An,Branden Grace,Moderate,Open,-1.9,0.0,-1.9,SKIP,Purple,nan,Metal,Earth
Harry Hall,Ryo Hisatsune,Tough,Closing,-8.1,-9.9,1.8000000000000007,SKIP,Green,Green,Fire,Water
Nick Taylor,Corey Conners,Tough,Open,1.8,0.0,1.8,SKIP,Yellow,nan,Earth,Metal
Jacob Bridgeman,J.J. Spaun,Tough,Open,1.8,0.0,1.8,SKIP,Yellow,nan,Earth,Metal
Tom Hoge,Sahith Theegala,Tough,Open,1.8,0.0,1.8,SKIP,Yellow,nan,Earth,Fire
Frederic Lacroix,Joakim Lagergren,Calm,Open,-7.8,-6.1,-1.7000000000000002,SKIP,Orange,Purple,Wood,Metal
Tommy Fleetwood,Cameron Young,Tough,Closing,-10.4,-12.1,1.6999999999999993,SKIP,Yellow,Purple,Metal,Fire
Akshay Bhatia,Shane Lowry,Tough,Closing,-10.4,-12.1,1.6999999999999993,SKIP,Yellow,Purple,Metal,Fire
Manuel Elvira,Ricardo Gouveia,Calm,Open,-5.7,-4.1,-1.6000000000000005,SKIP,Yellow,Blue,Fire,Metal
Ryan Gerard,Max Homa,Tough,Open,-1.5,0.0,-1.5,SKIP,Purple,nan,Earth,Metal
Ludvig Aberg,Rickie Fowler,Tough,Open,-1.5,0.0,-1.5,SKIP,Purple,nan,Earth,Earth
Wenyi Ding,Alex Fitzpatrick,Calm,Open,-1.4,0.0,-1.4,SKIP,Purple,nan,Wood,Earth
Angel Ayora,Antoine Rozner,Calm,Open,-1.4,0.0,-1.4,SKIP,Purple,nan,Wood,Water
Shane Lowry,Adam Scott,Tough,Open,1.3,0.0,1.3,SKIP,Purple,nan,Fire,Metal
Cameron Young,Viktor Hovland,Tough,Open,1.3,0.0,1.3,SKIP,Purple,nan,Fire,Fire
Robert MacIntyre,Justin Rose,Tough,Open,1.3,0.0,1.3,SKIP,Purple,nan,Fire,Metal
Keegan Bradley,Akshay Bhatia,Tough,Open,1.3,0.0,1.3,SKIP,Purple,nan,Fire,Metal
Freddy Schott,Guido Migliozzi,Calm,Open,-4.5,-5.7,1.2000000000000002,SKIP,Yellow,Yellow,Metal,Fire
Jordan Spieth,J.J. Spaun,Moderate,Open,1.2,0.0,1.2,SKIP,Purple,nan,Water,Metal
Marc Leishman,Elvis Smylie,Calm,Open,1.2,0.0,1.2,SKIP,Green,nan,Water,Water
Xander Schauffele,Cameron Young,Moderate,Open,1.2,0.0,1.2,SKIP,Purple,nan,Water,Fire
Jon Rahm,David Puig,Moderate,Open,1.2,0.0,1.2,SKIP,Green,nan,Wood,Metal
Xander Schauffele,Shane Lowry,Calm,Open,1.2,0.0,1.2,SKIP,Green,nan,Water,Fire
Nathan Kimsey,Niklas Norgaard,Calm,Open,1.2,0.0,1.2,SKIP,Green,nan,Water,Water
Nico Echavarria,Wyndham Clark,Moderate,Open,1.2,0.0,1.2,SKIP,Green,nan,Wood,Water
Andy Sullivan,Jacques Kruyswijk,Moderate,Open,1.1,0.0,1.1,SKIP,Blue,nan,Fire,Water
Hideki Matsuyama,Collin Morikawa,Tough,Open,1.1,0.0,1.1,SKIP,Yellow,nan,Water,Fire
Ben Griffin,Maverick McNealy,Tough,Open,1.1,0.0,1.1,SKIP,Blue,nan,Fire,Wood
Ewen Ferguson,Mikael Lindberg,Calm,Open,-5.7,-6.8,1.0999999999999996,SKIP,Yellow,Blue,Fire,Water
Todd Clements,Romain Langasque,Calm,Open,-10.7,-11.7,1.0,SKIP,Purple,Green,Fire,Wood
Wenyi Ding,Alejandro Del Rey,Calm,Open,-4.9,-4.2,-0.7000000000000002,SKIP,Blue,Yellow,Wood,Earth
Si Woo Kim,Chris Gotterup,Tough,Open,1.4,1.8,-0.40000000000000013,SKIP,Purple,Yellow,Wood,Earth
Scottie Scheffler,Patrick Cantlay,Tough,Open,6.4,6.7,-0.2999999999999998,SKIP,Green,Blue,Fire,Water
Tony Finau,Jordan Smith,Calm,Open,-0.2,0.0,-0.2,SKIP,Purple,nan,Earth,Water
Rickie Fowler,Jason Day,Tough,Closing,-12.2,-12.0,-0.1999999999999993,SKIP,Yellow,Blue,Earth,Fire
Collin Morikawa,Viktor Hovland,Tough,Closing,-8.3,-8.3,0.0,SKIP,Yellow,Yellow,Fire,Fire
Thriston Lawrence,Hennie du Plessis,Calm,Open,-5.7,-5.7,0.0,SKIP,Yellow,Yellow,Fire,Fire
nan,nan,nan,nan,0.0,0.0,0.0,SKIP,nan,nan,nan,nan
Dan Bradbury,Joost Luiten,Calm,Open,-4.2,-4.2,0.0,SKIP,Yellow,Yellow,Earth,Wood
