player_a,player_b,player_c,condition,round_type,score_a,score_b,score_c,best_player,best_score,best_vs_second,recommendation,winner_raw,actual_winner,is_push,push_type,color_a,color_b,color_c,exec_a,exec_b,exec_c,upside_a,upside_b,upside_c
Rasmus Hojgaard,Danny Walker,Kristoffer Reitan,Moderate,Open,-13.935419213444785,-8.127067722374239,-13.99490841106625,B,-8.127067722374239,5.808351491070546,MODERATE: Lean B,Danny Walker,Danny Walker,False,,Yellow,Yellow,Blue,25,53,25,25.0,68.0,25.0
Matti Schmid,Max McGreevy,Takumi Kanaya,Moderate,Open,-13.935419213444785,-13.99490841106625,-8.127067722374239,C,-8.127067722374239,5.808351491070546,MODERATE: Lean C,Matti Schmid,Matti Schmid,False,,Yellow,Blue,Yellow,25,31,50,25.0,46.0,50.0
Rasmus Hojgaard,Danny Walker,Kristoffer Reitan,Moderate,Open,-13.935419213444785,-8.127067722374239,-13.99490841106625,B,-8.127067722374239,5.808351491070546,MODERATE: Lean B,Danny Walker,Danny Walker,False,,Yellow,Yellow,Blue,25,53,25,25.0,68.0,25.0
Erik van Rooyen,Tom Kim,Zac Blair,Calm,Open,-8.363221328763021,-2.2271999497468435,-7.936829431588663,B,-2.2271999497468435,5.709629481841819,MODERATE: Lean B,Tom Kim,Tom Kim,False,,Purple,Purple,Green,75,49,75,50.0,57.0,50.0
Kurt Kitayama,Harry Hall,Stephan Jaeger,Moderate,Open,-13.99490841106625,-2.201781955537615,-7.868072983664332,B,-2.201781955537615,5.666291028126717,MODERATE: Lean B,Kurt Kitayama,Kurt Kitayama,False,,Blue,Purple,Yellow,25,46,25,25.0,75.0,75.0
Martin Kaymer,Tom McKibbin,Ian Poulter,Calm,Open,-5.01811508652674,-10.621714015079947,-10.621714015079947,A,-5.01811508652674,5.603598928553207,MODERATE: Lean A,Ian Poulter,Ian Poulter,False,,Yellow,Blue,Blue,75,59,50,50.0,85.0,75.0
Joost Luiten,Samuel Simpson,Dan Bradbury,Calm,Open,-0.5713454666334234,-6.103294108272843,-6.103294108272843,A,-0.5713454666334234,5.53194864163942,MODERATE: Lean A,Dan Bradbury,Dan Bradbury,False,,Green,Yellow,Yellow,50,70,50,25.0,70.0,50.0
Lee Hodges,Matt Wallace,Mac Meissner,Calm,Open,-6.103294108272843,-6.103294108272843,-0.5713454666334234,C,-0.5713454666334234,5.53194864163942,MODERATE: Lean C,Lee Hodges,Lee Hodges,False,,Yellow,Yellow,Green,50,57,50,50.0,66.0,25.0
Rafael Campos,Nicolai Hojgaard,S.H. Kim,Calm,Open,-0.5713454666334234,-6.103294108272843,-6.103294108272843,A,-0.5713454666334234,5.53194864163942,MODERATE: Lean A,Nicolai Hojgaard,Nicolai Hojgaard,False,,Green,Yellow,Yellow,50,57,50,25.0,57.0,50.0
Jordan Gumberg,Pieter Moolman,Louis Albertse,Moderate,Open,0.7982740021574942,-8.712020618837501,-4.7298850574712645,A,0.7982740021574942,5.528159059628758,MODERATE: Lean A,Jordan Gumberg,Jordan Gumberg,False,,Orange,Blue,Green,25,57,75,75.0,93.0,75.0
Nico Echavarria,Jason Day,Corey Conners,Moderate,Open,-7.67494000252621,-13.935419213444785,-2.201781955537615,C,-2.201781955537615,5.473158046988595,MODERATE: Lean C,Corey Conners,Corey Conners,False,,Green,Yellow,Purple,25,31,25,75.0,46.0,75.0
Chad Ramey,Alex Smalley,Pierceson Coody,Moderate,Open,-2.201781955537615,-7.67494000252621,-13.935419213444785,A,-2.201781955537615,5.473158046988595,MODERATE: Lean A,Alex Smalley,Alex Smalley,False,,Purple,Green,Yellow,25,46,25,75.0,75.0,25.0
Jovan Rebula,Rafa Cabrera Bello,Benjamin Follett-Smith,Moderate,Open,-6.2492659494503435,-4.54196252675938,0.7982740021574942,C,0.7982740021574942,5.340236528916874,MODERATE: Lean C,Jovan Rebula,Jovan Rebula,False,,Blue,Blue,Orange,25,49,25,75.0,56.0,75.0
Clement Charmasson,Adrian Otaegui,Mike Toorop,Calm,Open,-9.789553822772817,-4.599156562439124,-13.47647287232165,B,-4.599156562439124,5.190397260333692,MODERATE: Lean B,Mike Toorop,Mike Toorop,False,,Green,Green,Orange,50,48,25,50.0,78.0,50.0
Bernd Wiesberger,Jason Scrivener,Wenyi Ding,Calm,Open,-4.599156562439124,-9.789553822772817,-10.621714015079947,A,-4.599156562439124,5.190397260333692,MODERATE: Lean A,Jason Scrivener,Jason Scrivener,False,,Green,Green,Blue,25,55,50,75.0,62.0,75.0
Aldrich Potgieter,Jake Knapp,Sungjae Im,Moderate,Open,-13.935419213444785,-8.815040377057523,-13.99490841106625,B,-8.815040377057523,5.120378836387262,MODERATE: Lean B,Aldrich Potgieter,Aldrich Potgieter,False,,Yellow,Yellow,Blue,25,61,25,25.0,78.0,25.0
Chris Gotterup,Justin Rose,Min Woo Lee,Moderate,Open,-8.815040377057523,-13.935419213444785,-13.935419213444785,A,-8.815040377057523,5.120378836387262,MODERATE: Lean A,Chris Gotterup,Chris Gotterup,False,,Yellow,Yellow,Yellow,50,31,25,75.0,46.0,25.0
Aldrich Potgieter,Jake Knapp,Sungjae Im,Moderate,Open,-13.935419213444785,-8.815040377057523,-13.99490841106625,B,-8.815040377057523,5.120378836387262,MODERATE: Lean B,Aldrich Potgieter,Aldrich Potgieter,False,,Yellow,Yellow,Blue,25,61,25,25.0,78.0,25.0
Max Homa,Denny McCarthy,Kevin Yu,Tough,Open,-4.459308807134894,7.0023356090549775,2.0129504504504516,B,7.0023356090549775,4.9893851586045255,SLIGHT: B favored,Max Homa,Max Homa,False,,Purple,Orange,Green,50,40,50,50.0,52.0,50.0
Kevin Yu,Max Homa,Denny McCarthy,Tough,Open,2.0129504504504516,-4.459308807134894,7.0023356090549775,C,7.0023356090549775,4.9893851586045255,SLIGHT: C favored,Max Homa,Max Homa,False,,Green,Purple,Orange,50,55,25,50.0,62.0,50.0
Tony Finau,Max McGreevy,Lucas Glover,Tough,Open,2.0129504504504516,7.0023356090549775,-0.5319148936170224,B,7.0023356090549775,4.9893851586045255,SLIGHT: B favored,Max McGreevy,Max McGreevy,False,,Green,Orange,Yellow,50,40,50,50.0,52.0,75.0
Brian Campbell,Wyndham Clark,Marco Penge,Tough,Open,2.0129504504504516,7.0023356090549775,-0.5319148936170224,B,7.0023356090549775,4.9893851586045255,SLIGHT: B favored,Marco Penge,Marco Penge,False,,Green,Orange,Yellow,50,40,50,50.0,52.0,75.0
Lucas Glover,Tony Finau,Max McGreevy,Tough,Open,-0.5319148936170224,2.0129504504504516,7.0023356090549775,C,7.0023356090549775,4.9893851586045255,SLIGHT: C favored,Max McGreevy,Max McGreevy,False,,Yellow,Green,Orange,50,73,25,75.0,69.0,50.0
Sahith Theegala,Michael Kim,Pierceson Coody,Tough,Open,-5.8573853989813225,11.986426999266325,7.0023356090549775,B,11.986426999266325,4.984091390211347,SLIGHT: B favored,Push (Pierceson Coody / Michael Kim),,True,2-way,Purple,Yellow,Orange,25,40,25,75.0,52.0,50.0
Pierceson Coody,Sahith Theegala,Michael Kim,Tough,Open,7.0023356090549775,-5.8573853989813225,11.986426999266325,C,11.986426999266325,4.984091390211347,SLIGHT: C favored,Pierceson Coody,Pierceson Coody,False,,Orange,Purple,Yellow,25,48,25,50.0,78.0,50.0
Brian Harman,Maverick McNealy,Davis Riley,Moderate,Open,-8.127067722374239,-8.815040377057523,-3.1430222114709085,C,-3.1430222114709085,4.98404551090333,SLIGHT: C favored,Maverick McNealy,Maverick McNealy,False,,Yellow,Yellow,Green,50,56,50,50.0,86.0,50.0
Matthew Wolff,Elvis Smylie,Dean Burmester,Moderate,Open,-8.127067722374239,-3.1430222114709085,-8.127067722374239,B,-3.1430222114709085,4.98404551090333,SLIGHT: B favored,Matthew Wolff,Matthew Wolff,False,,Yellow,Green,Yellow,50,56,50,50.0,69.0,50.0
Brian Harman,Maverick McNealy,Davis Riley,Moderate,Open,-8.127067722374239,-8.815040377057523,-3.1430222114709085,C,-3.1430222114709085,4.98404551090333,SLIGHT: C favored,Maverick McNealy,Maverick McNealy,False,,Yellow,Yellow,Green,50,56,50,50.0,86.0,50.0
Cameron Tringale,Luis Masaveu,Sam Horsfield,Moderate,Open,-16.457663080453408,-8.127067722374239,-3.1430222114709085,C,-3.1430222114709085,4.98404551090333,SLIGHT: C favored,Cameron Tringale,Cameron Tringale,False,,Blue,Yellow,Green,50,56,50,25.0,60.0,50.0
Matthieu Pavon,S.H. Kim,Austin Smotherman,Moderate,Open,-3.8630792336381194,-8.815040377057523,-13.935419213444785,A,-3.8630792336381194,4.951961143419403,SLIGHT: A favored,Austin Smotherman,Austin Smotherman,False,,Purple,Yellow,Yellow,50,61,25,75.0,78.0,25.0
Ricky Castillo,Ryan Gerard,Patrick Cantlay,Moderate,Open,-3.8630792336381194,-8.815040377057523,-8.815040377057523,A,-3.8630792336381194,4.951961143419403,SLIGHT: A favored,Ricky Castillo,Ricky Castillo,False,,Purple,Yellow,Yellow,50,61,50,75.0,78.0,75.0
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,Moderate,Open,-3.8630792336381194,-13.935419213444785,-8.815040377057523,A,-3.8630792336381194,4.951961143419403,SLIGHT: A favored,Push (Christiaan Bezuidenhout / Max Greyserman),,True,2-way,Purple,Yellow,Yellow,50,31,50,75.0,46.0,75.0
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,Moderate,Open,-3.8630792336381194,-13.935419213444785,-8.815040377057523,A,-3.8630792336381194,4.951961143419403,SLIGHT: A favored,Push (Christiaan Bezuidenhout / Max Greyserman),,True,2-way,Purple,Yellow,Yellow,50,31,50,75.0,46.0,75.0
Ricky Castillo,Ryan Gerard,Patrick Cantlay,Moderate,Open,-3.8630792336381194,-8.815040377057523,-8.815040377057523,A,-3.8630792336381194,4.951961143419403,SLIGHT: A favored,Ricky Castillo,Ricky Castillo,False,,Purple,Yellow,Yellow,50,61,50,75.0,78.0,75.0
Brice Garnett,Dylan Wu,Max Meissner,Calm,Open,-7.105496807348787,-2.2271999497468435,-10.621714015079947,B,-2.2271999497468435,4.878296857601944,SLIGHT: B favored,Dylan Wu,Dylan Wu,False,,Blue,Purple,Blue,75,49,50,50.0,57.0,75.0
Sepp Straka,Harry Hall,Patrick Cantlay,Tough,Open,-0.5319148936170224,4.937862468931233,0.06690340178065957,B,4.937862468931233,4.870959067150574,SLIGHT: B favored,Push (Sepp Straka / Harry Hall),,True,2-way,Yellow,Green,Blue,50,48,50,75.0,78.0,75.0
Patrick Cantlay,Sepp Straka,Harry Hall,Tough,Open,0.06690340178065957,-0.5319148936170224,4.937862468931233,C,4.937862468931233,4.870959067150574,SLIGHT: C favored,Push (Sepp Straka / Harry Hall),,True,2-way,Blue,Yellow,Green,50,51,25,75.0,82.0,75.0
Ben Griffin,Keegan Bradley,Sam Burns,Tough,Open,0.06690340178065957,-5.167810831426392,4.937862468931233,C,4.937862468931233,4.870959067150574,SLIGHT: C favored,Sam Burns,Sam Burns,False,,Blue,Purple,Green,50,51,25,75.0,82.0,75.0
Ben Griffin,Sam Burns,Keegan Bradley,Tough,Open,0.06690340178065957,4.937862468931233,-5.167810831426392,B,4.937862468931233,4.870959067150574,SLIGHT: B favored,Sam Burns,Sam Burns,False,,Blue,Green,Purple,50,48,50,75.0,78.0,75.0
Francesco Laporta,Joe Dean,Marcus Kinhult,Calm,Open,-9.789553822772817,0.04897972911897308,-4.800168953049968,B,0.04897972911897308,4.849148682168941,SLIGHT: B favored,Francesco Laporta,Francesco Laporta,False,,Green,Purple,Purple,50,48,50,50.0,78.0,75.0
Viktor Hovland,Russell Henley,Robert MacIntyre,Moderate,Open,-8.815040377057523,-8.815040377057523,-3.976915936331122,C,-3.976915936331122,4.838124440726401,SLIGHT: C favored,Russell Henley,Russell Henley,False,,Yellow,Yellow,Green,50,56,50,75.0,86.0,75.0
Erik van Rooyen,Keith Mitchell,Michael Kim,Moderate,Open,-8.815040377057523,-3.976915936331122,-13.935419213444785,B,-3.976915936331122,4.838124440726401,SLIGHT: B favored,Keith Mitchell,Keith Mitchell,False,,Yellow,Green,Yellow,50,56,25,75.0,86.0,25.0
Viktor Hovland,Russell Henley,Robert MacIntyre,Moderate,Open,-8.815040377057523,-8.815040377057523,-3.976915936331122,C,-3.976915936331122,4.838124440726401,SLIGHT: C favored,Russell Henley,Russell Henley,False,,Yellow,Yellow,Green,50,56,50,75.0,86.0,75.0
Ockie Strydom,Justin Harding,Johannes Veerman,Calm,Open,-9.789553822772817,-9.789553822772817,-5.01811508652674,C,-5.01811508652674,4.771438736246076,SLIGHT: C favored,Johannes Veerman,Johannes Veerman,False,,Green,Green,Yellow,50,57,75,50.0,57.0,50.0
Taylor Moore,Harry Higgs,Hank Lebioda,Calm,Open,-5.3375568192274425,-6.103294108272843,-0.5713454666334234,C,-0.5713454666334234,4.766211352594019,SLIGHT: C favored,Taylor Moore,Taylor Moore,False,,Blue,Yellow,Green,50,70,50,25.0,70.0,25.0
Jason Day,Alex Noren,Ryo Hisatsune,Tough,Open,6.732928278959186,1.5388742561701303,2.0129504504504516,A,6.732928278959186,4.719977828508734,SLIGHT: A favored,Ryo Hisatsune,Ryo Hisatsune,False,,Blue,Blue,Green,25,73,50,50.0,69.0,50.0
Jason Day,Alex Noren,Ryo Hisatsune,Tough,Open,6.732928278959186,1.5388742561701303,2.0129504504504516,A,6.732928278959186,4.719977828508734,SLIGHT: A favored,Ryo Hisatsune,Ryo Hisatsune,False,,Blue,Blue,Green,25,73,50,50.0,69.0,50.0
Jastas Madoya Asena,Davis Bryant,Callum Tarren,Calm,Open,-4.599156562439124,-13.47647287232165,0.04897972911897308,C,0.04897972911897308,4.648136291558098,SLIGHT: C favored,Davis Bryant,Davis Bryant,False,,Green,Orange,Purple,25,40,25,75.0,52.0,75.0
Yurav Premall,Felix Mory,Dismas Indiza Anyonyi,Calm,Open,0.04897972911897308,-4.599156562439124,-6.654587793268107,A,0.04897972911897308,4.648136291558098,SLIGHT: A favored,Yurav Premall,Yurav Premall,False,,Purple,Green,Yellow,25,48,50,75.0,78.0,75.0
Collin Morikawa,Ludvig Aberg,Si Woo Kim,Moderate,Open,-8.127067722374239,-3.8630792336381194,0.7769622730033564,C,0.7769622730033564,4.6400415066414755,SLIGHT: C favored,nan,nan,False,,Yellow,Purple,Purple,50,61,50,50.0,78.0,50.0
Peter Uihlein,Cameron Smith,Byeong-Hun An,Calm,Open,-10.621714015079947,-10.621714015079947,-6.0129473429151385,C,-6.0129473429151385,4.608766672164808,SLIGHT: C favored,Cameron Smith,Cameron Smith,False,,Blue,Blue,Yellow,50,59,25,75.0,85.0,50.0
JJ Senekal,MJ Daffue,Jorge Campillo,Moderate,Open,-4.54196252675938,0.7769622730033564,-3.7817938420348067,B,0.7769622730033564,4.558756115038163,SLIGHT: B favored,Push (JJ Senekal / Jorge Campillo),,True,2-way,Blue,Purple,Orange,25,60,50,50.0,73.0,75.0
Patrick Reed,Martin Couvra,Charl Schwartzel,Calm,Open,-5.01811508652674,-0.5713454666334234,-6.103294108272843,B,-0.5713454666334234,4.446769619893317,SLIGHT: B favored,Patrick Reed,Patrick Reed,False,,Yellow,Green,Yellow,75,52,50,50.0,45.0,50.0
Scottie Scheffler,Xander Schauffele,Si Woo Kim,Tough,Open,2.0129504504504516,6.382978723404256,-4.459308807134894,B,6.382978723404256,4.370028272953805,SLIGHT: B favored,Push (Xander Schauffele / Si Woo Kim),,True,2-way,Green,Yellow,Purple,50,55,50,50.0,62.0,50.0
Scottie Scheffler,Xander Schauffele,Si Woo Kim,Tough,Open,2.0129504504504516,6.382978723404256,-4.459308807134894,B,6.382978723404256,4.370028272953805,SLIGHT: B favored,Push (Xander Schauffele / Si Woo Kim),,True,2-way,Green,Yellow,Purple,50,55,50,50.0,62.0,50.0
Patrick Rodgers,Kevin Roy,Marco Penge,Moderate,Open,-3.976915936331122,-8.127067722374239,-8.815040377057523,A,-3.976915936331122,4.150151786043117,SLIGHT: A favored,Patrick Rodgers,Patrick Rodgers,False,,Green,Yellow,Yellow,50,53,50,75.0,68.0,75.0
Cameron Young,Viktor Hovland,Shane Lowry,Tough,Open,-4.459308807134894,-0.5319148936170224,-5.8573853989813225,B,-0.5319148936170224,3.9273939135178715,SLIGHT: B favored,Viktor Hovland,Viktor Hovland,False,,Purple,Yellow,Purple,50,51,25,50.0,82.0,75.0
Cameron Young,Viktor Hovland,Shane Lowry,Tough,Open,-4.459308807134894,-0.5319148936170224,-5.8573853989813225,B,-0.5319148936170224,3.9273939135178715,SLIGHT: B favored,Viktor Hovland,Viktor Hovland,False,,Purple,Yellow,Purple,50,51,25,50.0,82.0,75.0
Jon Rahm,Thomas Detry,Talor Gooch,Moderate,Open,-3.1430222114709085,-16.457663080453408,0.7769622730033564,C,0.7769622730033564,3.919984484474265,SLIGHT: C favored,Jon Rahm,Jon Rahm,False,,Green,Blue,Purple,50,51,50,50.0,48.0,50.0
Scott Vincent,Marc Leishman,Jason Kokrak,Moderate,Open,-3.1430222114709085,-6.071592282368629,0.7769622730033564,C,0.7769622730033564,3.919984484474265,SLIGHT: C favored,Marc Leishman,Marc Leishman,False,,Green,Green,Purple,50,51,50,50.0,48.0,50.0
Younghan Song,Charl Schwartzel,Richard Bland,Moderate,Open,-3.1430222114709085,0.7769622730033564,-8.127067722374239,B,0.7769622730033564,3.919984484474265,SLIGHT: B favored,Push (Charl Schwartzel / Richard Bland),,True,2-way,Green,Purple,Yellow,50,74,50,50.0,72.0,50.0
Joaquin Niemann,Dustin Johnson,Bryson DeChambeau,Moderate,Open,0.7769622730033564,-8.127067722374239,-3.1430222114709085,A,0.7769622730033564,3.919984484474265,SLIGHT: A favored,Bryson DeChambeau,Bryson DeChambeau,False,,Purple,Yellow,Green,50,74,50,50.0,72.0,50.0
Miguel Tabuena,Bjorn Hellgren,Yosuke Asaji,Moderate,Open,0.7769622730033564,-3.1430222114709085,-14.882386606837976,A,0.7769622730033564,3.919984484474265,SLIGHT: A favored,Bjorn Hellgren,Bjorn Hellgren,False,,Purple,Green,Yellow,50,56,50,50.0,69.0,25.0
John Parry,John Vanderlaan,Marcelo Rozo,Calm,Open,-6.103294108272843,-8.363221328763021,-2.2271999497468435,C,-2.2271999497468435,3.8760941585259996,SLIGHT: C favored,John Vanderlaan,John Vanderlaan,False,,Yellow,Purple,Purple,50,79,25,50.0,65.0,50.0
Charles Howell III,Jason Kokrak,Caleb Surratt,Calm,Open,-2.2271999497468435,-10.621714015079947,-6.103294108272843,A,-2.2271999497468435,3.8760941585259996,SLIGHT: A favored,Charles Howell III,Charles Howell III,False,,Purple,Blue,Yellow,25,59,50,50.0,85.0,50.0
Caleb Surratt,Victor Perez,Jose Luis Ballester,Moderate,Open,-16.457663080453408,-7.004717196146538,-3.1430222114709085,C,-3.1430222114709085,3.86169498467563,SLIGHT: C favored,Push (Caleb Surratt / Victor Perez),,True,2-way,Blue,Blue,Green,50,56,50,25.0,69.0,50.0
Graeme McDowell,Peter Uihlein,Branden Grace,Moderate,Open,-3.1430222114709085,-7.004717196146538,-16.457663080453408,A,-3.1430222114709085,3.86169498467563,SLIGHT: A favored,Graeme McDowell,Graeme McDowell,False,,Green,Blue,Blue,50,56,50,50.0,69.0,25.0
Bubba Watson,Ian Poulter,Brendan Steele,Moderate,Open,-7.004717196146538,-3.1430222114709085,-8.127067722374239,B,-3.1430222114709085,3.86169498467563,SLIGHT: B favored,Brendan Steele,Brendan Steele,False,,Blue,Green,Yellow,50,56,50,50.0,69.0,50.0
Jhonattan Vegas,Taylor Pendrith,Alex Noren,Moderate,Open,-9.769616348563716,-7.67494000252621,-3.976915936331122,C,-3.976915936331122,3.698024066195088,SLIGHT: C favored,Alex Noren,Alex Noren,False,,Green,Green,Green,25,46,50,25.0,75.0,75.0
Jhonattan Vegas,Taylor Pendrith,Alex Noren,Moderate,Open,-9.769616348563716,-7.67494000252621,-3.976915936331122,C,-3.976915936331122,3.698024066195088,SLIGHT: C favored,Alex Noren,Alex Noren,False,,Green,Green,Green,25,46,50,25.0,75.0,75.0
J.J. Spaun,Ludvig Aberg,Hideki Matsuyama,Tough,Open,1.5388742561701303,-4.459308807134894,5.071533382245045,C,5.071533382245045,3.5326591260749147,SLIGHT: C favored,Hideki Matsuyama,Hideki Matsuyama,False,,Blue,Purple,Yellow,50,73,25,50.0,69.0,75.0
Hideki Matsuyama,Ludvig Aberg,J.J. Spaun,Tough,Open,5.071533382245045,-4.459308807134894,1.5388742561701303,A,5.071533382245045,3.5326591260749147,SLIGHT: A favored,Hideki Matsuyama,Hideki Matsuyama,False,,Yellow,Purple,Blue,25,73,50,75.0,69.0,50.0
Bryson DeChambeau,Dustin Johnson,Louis Oosthuizen,Calm,Open,-2.801460773912223,-8.363221328763021,-6.2880345882637325,A,-2.801460773912223,3.4865738143515097,SLIGHT: A favored,Bryson DeChambeau,Bryson DeChambeau,False,,Orange,Purple,Blue,50,79,50,75.0,65.0,50.0
Stephen Ferreira,Franklin Manchest,Joel Girrbach,Moderate,Open,-8.127067722374239,-8.127067722374239,-4.7298850574712645,C,-4.7298850574712645,3.3971826649029744,SLIGHT: C favored,Joel Girrbach,Joel Girrbach,False,,Yellow,Yellow,Green,50,60,75,50.0,73.0,75.0
Richard Sterne,Marcel Schneider,Hennie Otto,Moderate,Open,-3.976915936331122,-8.127067722374239,-7.18010032898105,A,-3.976915936331122,3.203184392649928,SLIGHT: A favored,Richard Sterne,Richard Sterne,False,,Green,Yellow,Yellow,50,60,25,75.0,73.0,50.0
Mackenzie Hughes,Eric Cole,Rico Hoey,Moderate,Open,-3.8630792336381194,-3.1430222114709085,0.0,C,0.0,3.1430222114709085,SLIGHT: C favored,Eric Cole,Eric Cole,False,,Purple,Green,#ERROR!,50,53,50,75.0,68.0,75.0
Marc Leishman,Jose Luis Ballester,Paul Casey,Calm,Open,-6.2880345882637325,-5.169521856763286,-2.2271999497468435,C,-2.2271999497468435,2.942321907016442,SLIGHT: C favored,Jose Luis Ballester,Jose Luis Ballester,False,,Blue,Blue,Purple,50,34,25,50.0,40.0,50.0
Angel Ayora,Antoine Rozner,Pablo Larrazabal,Calm,Open,-13.47647287232165,-13.47647287232165,-10.621714015079947,C,-10.621714015079947,2.8547588572417038,SLIGHT: C favored,Angel Ayora,Angel Ayora,False,,Orange,Orange,Blue,25,40,50,50.0,52.0,75.0
Shubhankar Sharma,Jordan Gumberg,David Ravetto,Calm,Open,-9.789553822772817,-13.47647287232165,-7.076348631915785,C,-7.076348631915785,2.713205190857032,SLIGHT: C favored,Jordan Gumberg,Jordan Gumberg,False,,Green,Orange,Purple,50,40,50,50.0,52.0,50.0
Brian Campbell,Karl Vilips,Aaron Rai,Moderate,Open,-8.815040377057523,-6.2492659494503435,-8.815040377057523,B,-6.2492659494503435,2.565774427607179,SLIGHT: B favored,Karl Vilips,Karl Vilips,False,,Yellow,Blue,Yellow,50,46,50,75.0,75.0,75.0
Tom Kim,Rickie Fowler,Max Greyserman,Tough,Open,2.0129504504504516,-0.5319148936170224,-0.5319148936170224,A,2.0129504504504516,2.544865344067474,SLIGHT: A favored,Max Greyserman,Max Greyserman,False,,Green,Yellow,Yellow,50,51,50,50.0,82.0,75.0
Rickie Fowler,Max Greyserman,Tom Kim,Tough,Open,-0.5319148936170224,-0.5319148936170224,2.0129504504504516,C,2.0129504504504516,2.544865344067474,SLIGHT: C favored,Max Greyserman,Max Greyserman,False,,Yellow,Yellow,Green,50,51,50,75.0,82.0,50.0
Jayden Schaper,Patrick Reed,Andy Sullivan,Moderate,Open,-8.815040377057523,-7.004717196146538,-4.54196252675938,C,-4.54196252675938,2.4627546693871585,SLIGHT: C favored,Jayden Schaper,Jayden Schaper,False,,Yellow,Blue,Blue,50,60,25,75.0,73.0,50.0
Chris Gotterup,Robert MacIntyre,Justin Rose,Tough,Open,-0.5319148936170224,-5.167810831426392,1.8589011546758027,C,1.8589011546758027,2.390816048292825,SLIGHT: C favored,Chris Gotterup,Chris Gotterup,False,,Yellow,Purple,Green,50,51,25,75.0,82.0,50.0
Chris Gotterup,Justin Rose,Robert MacIntyre,Tough,Open,-0.5319148936170224,1.8589011546758027,-5.167810831426392,B,1.8589011546758027,2.390816048292825,SLIGHT: B favored,Chris Gotterup,Chris Gotterup,False,,Yellow,Green,Purple,50,40,50,75.0,52.0,75.0
Yurav Premall,Estiaan Conradie,Rhys Enoch,Moderate,Open,-4.7298850574712645,-8.815040377057523,-7.004717196146538,A,-4.7298850574712645,2.274832138675274,SLIGHT: A favored,Push (Yurav Premall / Estiaan Conradie),,True,2-way,Green,Yellow,Blue,75,57,50,75.0,93.0,50.0
Adam Svensson,Rico Hoey,Max McGreevy,Calm,Open,-6.103294108272843,-8.363221328763021,-9.789553822772817,A,-6.103294108272843,2.2599272204901784,SLIGHT: A favored,Max McGreevy,Max McGreevy,False,,Yellow,Purple,Green,50,75,50,50.0,69.0,50.0
Marcus Armitage,Herman Loubser,Angel Hidalgo,Calm,Open,-6.103294108272843,-8.363221328763021,-9.789553822772817,A,-6.103294108272843,2.2599272204901784,SLIGHT: A favored,Herman Loubser,Herman Loubser,False,,Yellow,Purple,Green,50,75,50,50.0,69.0,50.0
Matt Wallace,Matti Schmid,S.H. Kim,Calm,Open,-8.363221328763021,-6.103294108272843,-8.363221328763021,B,-6.103294108272843,2.2599272204901784,SLIGHT: B favored,S.H. Kim,S.H. Kim,False,,Purple,Yellow,Purple,75,71,75,50.0,65.0,50.0
Xander Schauffele,Keegan Bradley,Patrick Cantlay,Calm,Open,-6.119999625799575,4.227464332036318,2.0411972361075694,B,4.227464332036318,2.1862670959287485,SLIGHT: B favored,Xander Schauffele,Xander Schauffele,False,,Blue,Purple,Yellow,25,34,25,50.0,40.0,25.0
Michael Hollick,Romain Langasque,Casey Jarvis,Calm,Open,-13.47647287232165,-9.789553822772817,-7.629423036380654,C,-7.629423036380654,2.1601307863921626,SLIGHT: C favored,Casey Jarvis,Casey Jarvis,False,,Orange,Green,Green,25,55,50,50.0,62.0,75.0
Garrick Higgo,Aaron Rai,Matt Fitzpatrick,Tough,Open,7.0023356090549775,-0.5319148936170224,4.937862468931233,A,7.0023356090549775,2.064473140123744,SLIGHT: A favored,Aaron Rai,Aaron Rai,False,,Orange,Yellow,Green,25,51,25,50.0,82.0,75.0
Matt Fitzpatrick,Garrick Higgo,Aaron Rai,Tough,Open,4.937862468931233,7.0023356090549775,-0.5319148936170224,B,7.0023356090549775,2.064473140123744,SLIGHT: B favored,Aaron Rai,Aaron Rai,False,,Green,Orange,Yellow,25,40,50,75.0,52.0,75.0
Tobias Jonsson,Aaron Cockerill,Sebastian Garcia Rodriguez,Calm,Open,-4.599156562439124,-6.654587793268107,-6.654587793268107,A,-4.599156562439124,2.055431230828982,SLIGHT: A favored,Push (Tobias Jonsson / Aaron Cockerill),,True,2-way,Green,Yellow,Yellow,25,51,50,75.0,82.0,75.0
Tom Vaillant,Mike Kisia,Dan Erickson,Calm,Open,-6.564241027910402,-13.47647287232165,-4.599156562439124,C,-4.599156562439124,1.9650844654712776,SLIGHT: C favored,Tom Vaillant,Tom Vaillant,False,,Yellow,Orange,Green,25,40,25,75.0,52.0,75.0
Maximilian Kieffer,Yannik Paul,Lucas Bjerregaard,Calm,Open,-4.599156562439124,-6.564241027910402,-9.789553822772817,A,-4.599156562439124,1.9650844654712776,SLIGHT: A favored,Push (Maximilian Kieffer / Yannik Paul / Lucas Bjerregaard),,True,2-way,Green,Yellow,Green,25,48,50,75.0,78.0,50.0
