Player A,Player B,Player C,Condition,Round,Round Type,Event Date,Moon,Color [A],Color [B],Color [C],Element [A],Element [B],Element [C],Horoscope [A],Horoscope [B],Horoscope [C],Exec A,Upside [A],Exec [B],Upside [B],Exec C,Upside [C],Winner,ML A,ML B,ML C
Jimmy Stanger,Neal Shipley,Jeffrey Kang,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Purple,Yellow,Wood,Metal,Metal,ARIES,CAPRICORN,CANCER,75,50,57,57,50,50,Jimmy Stanger,220,130,190
Patrick Fishburn,Zach Bauchou,Sudarshan Yellamaraju,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Blue,Green,Yellow,Water,Wood,Metal,CANCER,CAPRICORN,CANCER,50,50,75,69,75,50,Sudarshan Yellamaraju,175,170,175
Austin Smotherman,Jordan Smith,Chandler Blanchet,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Wood,Water,Wood,TAURUS,SCORPIO,AQUARIUS,50,50,70,70,50,25,Austin Smotherman,210,130,200
Mark Hubbard,Eric Cole,Alex Smalley,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Blue,Yellow,Earth,Earth,Fire,GEMINI,GEMINI,LIBRA,50,50,70,70,50,25,Mark Hubbard,240,175,130
Erik van Rooyen,Justin Lower,Carson Young,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Purple,Metal,Earth,Wood,PISCES,ARIES,SCORPIO,50,50,57,57,75,50,Carson Young,162,187,170
Peter Malnati,Brice Garnett,Lanto Griffin,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Fire,Water,Earth,GEMINI,VIRGO,GEMINI,75,50,57,66,50,25,Lanto Griffin,220,162,150
Gary Woodland,Brandt Snedeker,David Lipsky,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Purple,Purple,Blue,Wood,Metal,Earth,GEMINI,SAGITTARIUS,CANCER,50,50,57,57,50,25,David Lipsky,145,220,170
Emiliano Grillo,Kevin Roy,Danny Walker,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Water,Metal,Wood,VIRGO,PISCES,LIBRA,75,50,70,70,50,50,Kevin Roy,137,140,300
Matti Schmid,Dylan Wu,Takumi Kanaya,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Blue,Yellow,Fire,Fire,Earth,SCORPIO,CANCER,GEMINI,50,50,70,70,50,50,Matti Schmid,180,170,175
Michael Brennan,Ryan Gerard,Max Homa,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Blue,Yellow,Metal,Earth,Metal,AQUARIUS,LEO,SCORPIO,50,50,57,66,50,50,Michael Brennan,210,120,210
Adam Schenk,William Mouw,Aaron Wise,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Blue,Metal,Metal,Fire,AQUARIUS,VIRGO,CANCER,50,25,57,66,50,50,William Mouw,175,137,220
,,,,,,,,#ERROR!,#ERROR!,#ERROR!,,,,,,,#ERROR!,,#ERROR!,,#ERROR!,,,,,
Sami Valimaki,Cameron Davis,Matt Kuchar,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Green,Yellow,Earth,Wood,Earth,GEMINI,PISCES,CANCER,50,25,75,69,50,50,Push (Cameron Davis / Matt Kuchar),120,290,162
Mackenzie Hughes,Thorbjorn Olesen,Chandler Phillips,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Green,Yellow,Metal,Earth,Fire,SAGITTARIUS,SAGITTARIUS,SAGITTARIUS,75,50,57,57,75,50,Thorbjorn Olesen,160,137,250
Tom Kim,Michael Thorbjornsen,Rasmus Hojgaard,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Blue,Yellow,Yellow,Water,Metal,Metal,CANCER,VIRGO,PISCES,50,50,75,69,50,50,Rasmus Hojgaard,225,160,150
Patton Kizzire,Andrew Putnam,Kristoffer Reitan,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Green,Fire,Earth,Earth,PISCES,AQUARIUS,PISCES,50,50,57,57,50,50,Kristoffer Reitan,260,190,110
Seamus Power,Charley Hoffman,Christiaan Bezuidenhout,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Purple,Green,Yellow,Fire,Fire,Wood,PISCES,CAPRICORN,TAURUS,75,50,75,69,50,50,Push (Seamus Power / Christiaan Bezuidenhout),137,333,125
Haotong Li,Marcelo Rozo,Davis Chatfield,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Blue,Yellow,Wood,Earth,Earth,LEO,VIRGO,GEMINI,50,50,70,70,50,50,Haotong Li,-110,275,225
Kris Ventura,Dan Brown,Pontus Nyholm,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Wood,Wood,Earth,PISCES,SCORPIO,AQUARIUS,50,50,52,45,50,50,Pontus Nyholm,137,137,300
Jesper Svensson,Kensei Hirata,Luke Clanton,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Green,Fire,Metal,Water,PISCES,SAGITTARIUS,SCORPIO,50,25,57,66,75,50,Jesper Svensson,137,240,162
Alejandro Tosti,Frankie Capan III,John Vanderlaan,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Blue,Fire,Earth,Fire,GEMINI,SCORPIO,CANCER,50,50,57,57,50,50,Push (Frankie Capan III / John VanDerLaan),190,200,137
Chan Kim,John Parry,Gordon Sargent,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Metal,Fire,Water,ARIES,SCORPIO,GEMINI,50,50,57,57,50,25,Chan Kim,180,120,250
Isaiah Salinda,Rasmus Neergaard-Petersen,A.J. Ewart,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Fire,Earth,Earth,PISCES,CANCER,TAURUS,50,50,57,66,50,50,Rasmus Neergaard-Petersen,210,105,250
Zecheng Dou,David Ford,Justin Hicks,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Purple,Yellow,Purple,Fire,Water,Wood,AQUARIUS,VIRGO,SCORPIO,50,50,57,57,75,50,Push (Zecheng Dou / David Ford),105,110,650
Matteo Manassero,Jack Buchanan,Matthew Jordan,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Purple,Purple,Water,Wood,Wood,ARIES,AQUARIUS,CAPRICORN,50,25,57,57,50,50,Matthew Jordan,175,300,110
Altin van der Merwe,Louis Albertse,Ruan Korb,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Purple,Fire,Fire,Water,SCORPIO,VIRGO,PISCES,50,50,52,45,75,50,Altin van der Merwe,200,125,220
Oliver Bekker,Antoine Rozner,Richard Sterne,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Purple,Blue,Wood,Water,Metal,SAGITTARIUS,AQUARIUS,VIRGO,50,50,57,57,50,50,Antoine Rozner,190,145,190
Toto Thimba Jr,Gregorio De Leo,David Ravetto,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Yellow,Yellow,Fire,Metal,Fire,AQUARIUS,ARIES,GEMINI,50,50,57,66,50,50,Push (Toto Thimba Jr / Gregorio De Leo),425,105,140
Thriston Lawrence,Freddy Schott,Dylan Frittelli,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Fire,Metal,Metal,SAGITTARIUS,GEMINI,GEMINI,50,50,52,45,50,25,Dylan Frittelli,105,230,225
Franklin Manchest,Justin Walters,Thanda Mavundla,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Purple,Blue,Yellow,Earth,Metal,Fire,TAURUS,SCORPIO,GEMINI,75,50,70,70,50,25,Justin Walters,300,-163,350
Jean Hugo,Adrian Otaegui,Jovan Rebula,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Purple,Yellow,Yellow,Wood,Water,Fire,SAGITTARIUS,SCORPIO,LEO,75,50,52,45,50,50,Adrian Otaegui,200,137,190
Casey Jarvis,Jayden Schaper,Angel Ayora,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Purple,Water,Metal,Wood,LEO,PISCES,LIBRA,75,50,57,66,50,50,Push (Casey Jarvis / Angel Ayora),225,150,160
Michael Hollick,Ivan Cantero Gutierrez,Eddie Pepperell,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Green,Purple,Fire,Wood,Metal,TAURUS,AQUARIUS,AQUARIUS,50,50,57,66,75,50,Michael Hollick,170,187,170
Jacques Kruyswijk,Niklas Norgaard,Ewen Ferguson,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Water,Water,Fire,LIBRA,GEMINI,CANCER,50,50,57,66,50,50,Ewen Ferguson,180,180,160
Marcus Armitage,Herman Loubser,Angel Hidalgo,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Purple,Green,Fire,Earth,Earth,CANCER,AQUARIUS,TAURUS,50,50,75,69,50,50,Herman Loubser,105,280,187
Heinrich Bruiners,Dylan Mostert,Ben Schmidt,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Blue,Fire,Earth,Water,LIBRA,LEO,LEO,50,50,57,66,50,50,Ben Schmidt,275,333,-150
Ockie Strydom,Justin Harding,Johannes Veerman,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Green,Yellow,Wood,Fire,Water,CAPRICORN,AQUARIUS,TAURUS,50,50,57,57,75,50,Johannes Veerman,300,200,-105
Kiradech Aphibarnrat,Deon Germishuys,Yuto Katsuragawa,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Earth,Earth,Earth,LEO,LIBRA,LIBRA,50,50,57,66,50,50,Kiradech Aphibarnrat,170,170,187
Stephen Ferreira,Ricardo Gouveia,Maximilian Steinlechner,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Blue,Yellow,Metal,Metal,Earth,GEMINI,LEO,SCORPIO,75,50,70,70,50,50,Maximilian Steinlechner,375,100,162
Brandon Robinson Thompson,Pablo Larrazabal,Luis Carrera,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Green,Yellow,Water,Water,Earth,VIRGO,TAURUS,SCORPIO,75,50,75,69,50,50,Luis Carrera,105,180,300
Joost Luiten,Samuel Simpson,Dan Bradbury,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Yellow,Yellow,Wood,Water,Earth,CAPRICORN,TAURUS,LEO,50,25,70,70,50,50,Dan Bradbury,145,300,130
Jason Scrivener,Charl Barnard,Haydn Porteous,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Earth,Wood,Wood,ARIES,LIBRA,CANCER,50,50,57,57,50,50,Haydn Porteous,-110,300,210
Benjamin Follett-Smith,Marcel Siem,Alejandro Del Rey,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Blue,Green,Wood,Metal,Earth,PISCES,CANCER,AQUARIUS,50,50,70,70,75,50,Alejandro Del Rey,210,210,120
Nick Bachem,Jens Dantorp,Daniel Cronje,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Earth,Earth,Metal,LIBRA,TAURUS,TAURUS,75,50,70,70,50,50,Daniel Cronje,260,125,170
Darius van Driel,Ryan Van Velzen,Austin Bautista,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Green,Earth,Metal,Fire,GEMINI,LIBRA,SAGITTARIUS,75,50,52,45,75,50,Ryan Van Velzen,175,145,210
Merrick Bremner,Lyle Rowe,Kieron van Wyk,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Blue,Yellow,Purple,Fire,Fire,Metal,ARIES,GEMINI,CAPRICORN,50,50,75,69,75,50,Push (Lyle Rowe / Kieron van Wyk),650,145,-125
Kota Kaneko,Jeff Winther,Scott Jamieson,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Water,Earth,Water,VIRGO,ARIES,SAGITTARIUS,50,50,57,57,50,25,Jeff Winther,145,210,175
Wilco Nienaber,Hennie du Plessis,Rafa Cabrera Bello,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Yellow,Yellow,Metal,Fire,Wood,ARIES,LIBRA,GEMINI,50,50,57,57,50,50,Push (Wilco Nienaber / Hennie du Plessis / Rafa Cabrera Bello),260,-110,240
Jorge Campillo,George Coetzee,Yurav Premall,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Blue,Fire,Fire,Water,GEMINI,CANCER,GEMINI,50,50,75,69,50,25,Jorge Campillo,-120,300,240
Julien Guerrier,Andy Sullivan,Dean Burmester,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Blue,Yellow,Yellow,Wood,Fire,Earth,CANCER,TAURUS,GEMINI,50,25,70,70,75,50,Dean Burmester,190,225,125
Patrick Reed,Martin Couvra,Charl Schwartzel,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Green,Yellow,Metal,Water,Wood,LEO,CAPRICORN,VIRGO,75,50,52,45,50,50,Patrick Reed,105,240,220
Robin Williams,Alex Fitzpatrick,Frederic Lacroix,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Green,Purple,Metal,Earth,Wood,VIRGO,CAPRICORN,PISCES,50,50,57,57,50,50,Push (Robin Williams / Alex Fitzpatrick),275,137,145
Joe Dean,Bernd Wiesberger,Nikhil Rama,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Blue,Yellow,Yellow,Wood,Wood,Metal,CANCER,LIBRA,VIRGO,50,25,52,45,50,50,Joe Dean,162,130,260
Ernie Els,Judd Sundelson,Dylan Naidoo,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Purple,Yellow,Earth,Water,Earth,LIBRA,PISCES,PISCES,50,50,57,57,50,50,Judd Sundelson,100,350,170
Jacques Blaauw,Jordan Gumberg,Sebastian Soderberg,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Purple,Yellow,Fire,Wood,Metal,AQUARIUS,ARIES,VIRGO,50,50,57,57,50,50,Jacques Blaauw,350,170,100
Branden Grace,Oliver Lindell,Shaun Norris,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Yellow,Blue,Earth,Earth,Water,TAURUS,LIBRA,TAURUS,50,50,70,70,50,50,Oliver Lindell,115,170,280
Ugo Coussaud,Wenyi Ding,Nathan Kimsey,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Purple,Yellow,Water,Wood,Water,LIBRA,SCORPIO,ARIES,50,50,75,69,50,25,Nathan Kimsey,200,162,160
Jacob Olesen,Rikuya Hoshino,Calum Hill,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Green,Earth,Fire,Wood,GEMINI,TAURUS,SCORPIO,50,25,70,70,75,50,Rikuya Hoshino,150,220,162
Jeong Weon Ko,Ryggs Johnston,JC Ritchie,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Purple,Yellow,Yellow,Earth,Metal,Wood,TAURUS,GEMINI,PISCES,75,50,70,70,50,25,JC Ritchie,250,220,100
Francesco Laporta,Connor Syme,Daniel van Tonder,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Blue,Green,Yellow,Metal,Wood,Metal,LIBRA,CANCER,PISCES,50,50,75,69,50,25,Francesco Laporta,125,225,190
Andrea Pavan,Romain Langasque,MJ Viljoen,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Yellow,Yellow,Earth,Wood,Wood,TAURUS,TAURUS,TAURUS,50,50,70,70,50,50,MJ Viljoen,150,137,260
Joel Girrbach,JJ Senekal,Davis Bryant,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Green,Purple,Water,Fire,Earth,CANCER,AQUARIUS,CAPRICORN,50,25,70,70,50,50,Push (Joel Girrbach / JJ Senekal),137,300,140
Brandon Stone,Marcel Schneider,Pieter Moolman,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Purple,Yellow,Water,Metal,Metal,ARIES,AQUARIUS,PISCES,50,25,75,69,50,50,Brandon Stone,130,190,220
Joakim Lagergren,Hennie Otto,Jonathan Broomhead,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Blue,Blue,Blue,Metal,Fire,Metal,SCORPIO,CANCER,SAGITTARIUS,50,50,70,70,50,50,Hennie Otto,115,250,187
Todd Clements,MJ Daffue,Luke Jerling,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Yellow,Green,Blue,Fire,Earth,Water,VIRGO,CAPRICORN,CANCER,50,50,75,69,50,50,Todd Clements,105,170,320
Allen John,Wil Enfer,Cameron Adam,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Purple,Yellow,Blue,Fire,Fire,Water,VIRGO,LIBRA,CANCER,75,50,57,66,50,25,Allen John,300,140,137
Manuel Elvira,Marcus Kinhult,Sam Bairstow,Calm,Round 1,Open,2/26/2026,Waxing Gibbous,Green,Yellow,Yellow,Fire,Fire,Earth,LEO,LEO,LEO,75,50,75,69,50,25,Sam Bairstow,150,225,160
Stephen Ferreira,Franklin Manchest,Joel Girrbach,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Yellow,Green,Metal,Earth,Water,GEMINI,TAURUS,CANCER,50,50,60,73,75,75,Joel Girrbach,320,300,-150
Yurav Premall,Estiaan Conradie,Rhys Enoch,Moderate,Round 1,Open,3/5/2026,Full Moon,Green,Yellow,Blue,Water,Fire,Earth,GEMINI,LIBRA,GEMINI,75,75,57,93,50,50,Push (Yurav Premall / Estiaan Conradie),150,175,200
,,,,,,,,#ERROR!,#ERROR!,#ERROR!,,,,,,,#ERROR!,,#ERROR!,,#ERROR!,,,,,
Jovan Rebula,Rafa Cabrera Bello,Benjamin Follett-Smith,Moderate,Round 1,Open,3/5/2026,Full Moon,Blue,Blue,Orange,Fire,Wood,Wood,LEO,GEMINI,PISCES,25,75,49,56,25,75,Jovan Rebula,250,120,180
Dylan Mostert,Stefano Mazzoli,Karabo Mokoena,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Yellow,Yellow,Earth,Fire,Fire,LEO,CAPRICORN,CAPRICORN,50,75,49,56,25,50,Dylan Mostert,240,-105,240
Adrian Otaegui,Oliver Bekker,David Ravetto,Moderate,Round 1,Open,3/5/2026,Full Moon,Purple,Blue,Blue,Water,Wood,Fire,SCORPIO,SAGITTARIUS,GEMINI,75,75,49,56,50,75,David Ravetto,150,220,162
Jacques Kruyswijk,Yuto Katsuragawa,Alejandro Del Rey,Moderate,Round 1,Open,3/5/2026,Full Moon,Green,Yellow,Yellow,Water,Earth,Earth,LIBRA,LIBRA,AQUARIUS,25,75,49,56,50,50,Jacques Kruyswijk,150,300,125
Rocco Repetto Taylor,Alex Fitzpatrick,Mark Maart,Moderate,Round 1,Open,3/5/2026,Full Moon,Green,Blue,Yellow,Water,Earth,Wood,SAGITTARIUS,CAPRICORN,VIRGO,25,50,47,87,25,50,Push (Rocco Repetto Taylor / Alex Fitzpatrick),162,-188,1400
Wilco Nienaber,Hennie du Plessis,Julien Guerrier,Moderate,Round 1,Open,3/5/2026,Full Moon,Orange,Yellow,Yellow,Metal,Fire,Wood,ARIES,LIBRA,CANCER,25,75,47,87,75,75,Hennie du Plessis,260,115,187
Eddie Pepperell,Darren Fichardt,Kyle Barker,Moderate,Round 1,Open,3/5/2026,Full Moon,Green,Blue,Yellow,Metal,Wood,Earth,AQUARIUS,TAURUS,AQUARIUS,50,50,49,56,25,50,Darren Fichardt,115,180,260
Jayden Schaper,Patrick Reed,Andy Sullivan,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Blue,Blue,Metal,Metal,Fire,PISCES,LEO,TAURUS,50,75,60,73,25,50,Jayden Schaper,130,150,280
Martin Couvra,Daniel van Tonder,Dylan Naidoo,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Yellow,Yellow,Water,Metal,Earth,CAPRICORN,PISCES,PISCES,75,75,79,78,25,50,Daniel van Tonder,130,120,375
Richard Sterne,Marcel Schneider,Hennie Otto,Moderate,Round 1,Open,3/5/2026,Full Moon,Green,Yellow,Yellow,Metal,Metal,Fire,VIRGO,AQUARIUS,CANCER,50,75,60,73,25,50,Richard Sterne,145,162,225
Manuel Elvira,Thanda Mavundla,Scott Jamieson,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Yellow,Purple,Fire,Fire,Water,LEO,GEMINI,SAGITTARIUS,50,50,79,78,75,75,Scott Jamieson,105,500,125
Angel Hidalgo,Jaco Ahlers,Darius van Driel,Moderate,Round 1,Open,3/5/2026,Full Moon,Orange,Yellow,Blue,Earth,Water,Earth,TAURUS,SCORPIO,GEMINI,25,75,57,93,50,50,Darius van Driel,187,187,150
Michael Hollick,Zander Lombard,Nikhil Rama,Moderate,Round 1,Open,3/5/2026,Full Moon,Orange,Yellow,Yellow,Fire,Wood,Metal,TAURUS,CAPRICORN,VIRGO,25,75,49,56,50,75,Zander Lombard,175,125,250
JC Ritchie,Ryggs Johnston,Deon Germishuys,Moderate,Round 1,Open,3/5/2026,Full Moon,Blue,Blue,Yellow,Wood,Metal,Earth,PISCES,GEMINI,LIBRA,75,75,49,56,50,75,Ryggs Johnston,125,230,187
Ivan Cantero Gutierrez,MJ Viljoen,Richie Ramsay,Moderate,Round 1,Open,3/5/2026,Full Moon,Orange,Blue,Yellow,Wood,Wood,Water,AQUARIUS,TAURUS,CANCER,50,75,49,56,50,50,Richie Ramsay,162,200,162
Renato Paratore,Trevor Fisher Jr,Ross Fisher,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Orange,Purple,Fire,Earth,Metal,SAGITTARIUS,GEMINI,SCORPIO,25,75,57,93,25,50,Ross Fisher,130,220,187
Sebastian Garcia Rodriguez,Martin Vorster,Hennie O'Kennedy,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Yellow,Yellow,Earth,Metal,Wood,PISCES,AQUARIUS,AQUARIUS,50,50,79,78,50,75,Sebastian Garcia Rodriguez,130,162,260
Euan Walker,Andrew Johnston,Justin Harding,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Yellow,Blue,Wood,Earth,Fire,VIRGO,AQUARIUS,AQUARIUS,75,75,49,56,25,75,Justin Harding,200,125,210
,,,,,,,,#ERROR!,#ERROR!,#ERROR!,,,,,,,#ERROR!,,#ERROR!,,#ERROR!,,,,,
Ben Schmidt,Kyle McClatchie,Luke Jerling,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Yellow,Blue,Water,Fire,Water,LEO,GEMINI,CANCER,25,50,79,78,50,75,Ben Schmidt,-115,250,260
Kyle De Beer,Allen John,Bjorn Akesson,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Yellow,Yellow,Earth,Fire,Earth,GEMINI,VIRGO,CAPRICORN,50,50,60,73,25,75,Push (Kyle De Beer / Allen John),200,187,140
Heinrich Bruiners,Romain Langasque,Jean Hugo,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Yellow,Yellow,Fire,Wood,Wood,LIBRA,TAURUS,SAGITTARIUS,25,50,49,56,50,50,Romain Langasque,333,-134,240
Makhetha Mazibuko,Graham van der Merwe,Hugo Townsend,Moderate,Round 1,Open,3/5/2026,Full Moon,Blue,Purple,Green,Fire,Metal,Earth,AQUARIUS,PISCES,CAPRICORN,50,75,79,78,75,75,Hugo Townsend,400,150,100
Marcel Siem,Brandon Stone,Antoine Rozner,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Yellow,Blue,Metal,Water,Water,CANCER,ARIES,AQUARIUS,25,50,79,78,25,75,Brandon Stone,275,145,140
Altin van der Merwe,Quim Vidal,Gerhard Pepler,Moderate,Round 1,Open,3/5/2026,Full Moon,Green,Blue,Yellow,Fire,Earth,Earth,SCORPIO,SAGITTARIUS,SAGITTARIUS,25,50,47,87,25,50,Quim Vidal,162,170,187
Sebastian Soderberg,Lyle Rowe,Jason Scrivener,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Blue,Yellow,Metal,Fire,Earth,VIRGO,GEMINI,ARIES,50,75,60,73,25,50,Sebastian Soderberg,145,275,137
,,,,,,,,#ERROR!,#ERROR!,#ERROR!,,,,,,,#ERROR!,,#ERROR!,,#ERROR!,,,,,
Ewen Ferguson,Robin Williams,Rikuya Hoshino,Moderate,Round 1,Open,3/5/2026,Full Moon,Blue,Yellow,Yellow,Fire,Metal,Fire,CANCER,VIRGO,TAURUS,25,75,47,87,25,50,Ewen Ferguson,120,240,187
David Law,Jaco Prinsloo,Ugo Coussaud,Moderate,Round 1,Open,3/5/2026,Full Moon,Orange,Blue,Green,Metal,Wood,Water,TAURUS,LEO,LIBRA,25,75,60,73,25,50,Push (David Law / Jaco Prinsloo),190,200,137
Angel Ayora,Francesco Laporta,Shaun Norris,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Purple,Blue,Wood,Metal,Water,LIBRA,LIBRA,TAURUS,25,75,49,56,50,75,Angel Ayora,115,162,300
Haydn Porteous,Joost Luiten,Neil Schietekat,Moderate,Round 1,Open,3/5/2026,Full Moon,Blue,Yellow,Yellow,Wood,Wood,Water,CANCER,CAPRICORN,AQUARIUS,25,75,79,78,25,75,Joost Luiten,150,-105,450
Casey Jarvis,Calum Hill,Thriston Lawrence,Moderate,Round 1,Open,3/5/2026,Full Moon,Blue,Yellow,Yellow,Water,Wood,Fire,LEO,SCORPIO,SAGITTARIUS,50,50,60,73,25,75,Push (Casey Jarvis / Calum Hill),130,210,200
Bernd Wiesberger,Christiaan Burke,Todd Clements,Moderate,Round 1,Open,3/5/2026,Full Moon,Green,Green,Yellow,Wood,Metal,Fire,LIBRA,LIBRA,VIRGO,75,75,79,78,25,50,Christiaan Burke,175,240,130
Sean Crocker,Martin Rohwer,Jacques Blaauw,Moderate,Round 1,Open,3/5/2026,Full Moon,Green,Green,Blue,Fire,Water,Fire,VIRGO,VIRGO,AQUARIUS,75,75,57,93,50,75,Sean Crocker,-110,230,275
Connor Syme,Dan Bradbury,Shubhankar Sharma,Moderate,Round 1,Open,3/5/2026,Full Moon,Blue,Blue,Blue,Wood,Earth,Fire,CANCER,LEO,CANCER,50,50,49,56,25,50,Dan Bradbury,190,110,260
Joe Dean,Jonathan Broomhead,Brandon Robinson Thompson,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Yellow,Purple,Wood,Metal,Water,CANCER,SAGITTARIUS,VIRGO,75,75,57,93,50,50,Brandon Robinson Thompson,145,240,160
Ricardo Gouveia,James Morrison,Keenan Davidse,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Yellow,Yellow,Metal,Wood,Earth,LEO,AQUARIUS,TAURUS,25,50,60,73,75,75,James Morrison,115,210,230
Luke Brown,Marcus Armitage,Keelan van Wyk,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Orange,Purple,Earth,Fire,Earth,GEMINI,CANCER,SCORPIO,75,75,47,87,75,75,Marcus Armitage,162,-115,450
Jeong Weon Ko,Herman Loubser,Sam Bairstow,Moderate,Round 1,Open,3/5/2026,Full Moon,Blue,Yellow,Yellow,Earth,Earth,Earth,TAURUS,AQUARIUS,LEO,50,50,60,73,75,75,Sam Bairstow,275,187,110
Jordan Gumberg,Pieter Moolman,Louis Albertse,Moderate,Round 1,Open,3/5/2026,Full Moon,Orange,Blue,Green,Wood,Metal,Fire,ARIES,PISCES,VIRGO,25,75,57,93,75,75,Jordan Gumberg,187,162,175
